Benchmark,ARRAY_LIST,BUFFERED_ARRAY_LIST,TREE_LIST,VECTOR
B01_SequentialAppend,37461.4 ± 729.2,8325.7 ± 20.1,217816.8 ± 2079.5,43215.2 ± 3775.5
B02_RandomInsertion,57313.3 ± 109.7,17516.1 ± 47.0,19299.2 ± 282.2,57270.0 ± 112.5
B03_MiddleInsertion,1264244.1 ± 50230.6,13100.9 ± 15.4,279877.3 ± 6408.5,1247747.0 ± 50771.0
B04_HeadInsertion,10799.3 ± 2380.5,2589.4 ± 11.3,1460.6 ± 39.1,10563.0 ± 2165.3
B05_RandomAccess,23205.9 ± 123.5,388857.7 ± 8650.4,600644.7 ± 4598.6,29681.7 ± 92.1
B06_SequentialIteration,4372.1 ± 6.3,5701.4 ± 14.5,23914.4 ± 338.4,21852.1 ± 7.2
B07_IndexedIteration,3587.5 ± 3.1,80290.2 ± 361.4,109614.1 ± 294.8,42416.3 ± 15.9
B08_RandomDeletion,1194424.4 ± 47800.2,18565.5 ± 36.8,233568.0 ± 3235.3,8519439.8 ± 4854426.6
B09_TailDeletion,37067.6 ± 597.9,13575.6 ± 148.2,222410.7 ± 2966.2,42697.0 ± 3558.7
B10_MixedWorkload,291536.6 ± 22265.6,8002.8 ± 16.6,121521.1 ± 1912.4,314143.8 ± 29494.2
